Nº,Nom,Grau,Metres,Paret,Zona,Data,Enllaç,Ubicació
233,Evident,V,220,Tuc de Tumeneia,La Restanca,2021-11,http://elprincepdelesmaduixes.blogspot.com/2021/11/evidentment.html,"42.6181, 0.8519"
234,Esperó de les plaques,6a,120,Bachimaña,Panticosa,2022-08,http://elprincepdelesmaduixes.blogspot.com/2022/08/panticosa.html,"42.7825, -0.2388"
235,Makalu,6a,120,Agulla de Bachimaña,Panticosa,2022-08,http://elprincepdelesmaduixes.blogspot.com/2022/08/panticosa.html,"42.78, -0.23"
236,Roca Viva,V,310,Pic de la Solana de Llauset,Llauset,2022-08,http://elprincepdelesmaduixes.blogspot.com/2022/08/dirtbags.html,"42.5933, 0.6884"
237,Super Nano,6a,120,Paret de la Cascada,Panticosa,2022-08,http://elprincepdelesmaduixes.blogspot.com/2022/08/panticosa.html,"42.7799, -0.2323"
238,Escalera de Color,6a,120,Paret de la Cascada,Panticosa,2022-08,http://elprincepdelesmaduixes.blogspot.com/2022/08/panticosa.html,"42.7799, -0.2323"
239,Espolon del pino,6a,120,Pared de la Cascada,Panticosa,2022-08,http://elprincepdelesmaduixes.blogspot.com/2022/08/panticosa.html,"42.7780, -0.2273"
240,Normal,V-,110,Aguja Roja,Riglos,2021-10,http://elprincepdelesmaduixes.blogspot.com/2021/10/codols-grossos.html,"42.3454, -0.7136"
241,Los Kilos te sientan bien,V-,110,Mallo Colorado,Riglos,2021-10,http://elprincepdelesmaduixes.blogspot.com/2021/10/codols-grossos.html,"42.353, -0.724"
242,Quinta Chimenea,V-,110,Frechín-Visera,Riglos,2021-10,http://elprincepdelesmaduixes.blogspot.com/2021/10/codols-grossos.html,"42.3500, -0.7260"
243,Dersu-Uzala,6a,130,Coll Roig,Collroig,2022-06,,"42.261, 2.083"
244,Giraud-Arlaud,IV+,160,Agulla Petita,Amitges,2023-02,http://elprincepdelesmaduixes.blogspot.com/2023/02/per-que-has-pujat.html,"42.6060, 0.9840"
245,Aigua i Tabac,6a,105,Cal Barricó,Ripollès,2023-02,,"42.2603, 2.1529"
246,L'avi Joan,V,150,els Graus,Montserrat,2023-03,,"41.575, 1.825"
247,Esperons de Fra Garí,V+,225,els Graus,Montserrat,2023-04,,"41.575, 1.825"
248,Escalada Virtual,6b,105,Cara de Mico,Montserrat,2023-05,,"41.5910, 1.8247"
249,Sossis i Patisants,V+,190,Paret del Pessó,Collegats,2023-06,,"42.275, 0.992"
250,Ladakh,V/V+,75,Placa Tòtem,Montserrat,2023-07,,"41.5839, 1.8199"
251,Poseidon,6a+,135,Roca Maura,L'Estartit,2023-08,,"42.0556, 3.1911"
252,Hèrnia Discal,6a+,100,La Falconera,,2023-08,,"41.6786, 1.9966"
253,Excàlibur,V+,100,Pic Martell,Garraf,2023-09,,"41.255, 1.900"
254,Anton Ribas,6a,110,Pic Martell,Garraf,2023-10,,"41.255, 1.900"
255,Rondinaire,6a,190,Gorro Frigi,Montserrat,2023-11,,"41.5898, 1.8298"
256,Gas-oil et Décibels,6a,200,La Fullatera,Porta,2023-12,,"42.5166, 1.8256"
257,Dame más Gasolina,IV+,195,Pic Negre d'Envalira,Andorra,2024-01,,"42.5185, 1.7224"
258,Flying Circus,V+,165,Roc de l'Orri,Coma de vaca,2024-02,,"42.3931, 2.2304"
